team,group,formation,starter_order,lineup_role,shirt_number,player_name,source_url
Curacao,E,4-3-3,4,DEF,18,Obispo,https://mylineups.app/world-cup-2026/teams/curacao
Curacao,E,4-3-3,5,DEF,2,Sambo,https://mylineups.app/world-cup-2026/teams/curacao
Curacao,E,4-3-3,6,MID,7,Bacuna,https://mylineups.app/world-cup-2026/teams/curacao
Curacao,E,4-3-3,7,MID,10,Bacuna,https://mylineups.app/world-cup-2026/teams/curacao
Curacao,E,4-3-3,8,MID,8,Comenencia,https://mylineups.app/world-cup-2026/teams/curacao
Curacao,E,4-3-3,9,ATT,11,Antonisse,https://mylineups.app/world-cup-2026/teams/curacao
Curacao,E,4-3-3,10,ATT,21,Chong,https://mylineups.app/world-cup-2026/teams/curacao
Curacao,E,4-3-3,11,ATT,19,Kastaneer,https://mylineups.app/world-cup-2026/teams/curacao
Ecuador,E,4-4-2,1,GK,1,Galíndez,https://mylineups.app/world-cup-2026/teams/ecuador
Ecuador,E,4-4-2,2,DEF,3,Hincapié,https://mylineups.app/world-cup-2026/teams/ecuador
Ecuador,E,4-4-2,3,DEF,4,Ordóñez,https://mylineups.app/world-cup-2026/teams/ecuador
Ecuador,E,4-4-2,4,DEF,6,Pacho,https://mylineups.app/world-cup-2026/teams/ecuador
Ecuador,E,4-4-2,5,MID,23,Caicedo,https://mylineups.app/world-cup-2026/teams/ecuador
Ecuador,E,4-4-2,6,MID,7,Estupinán,https://mylineups.app/world-cup-2026/teams/ecuador
Ecuador,E,4-4-2,7,MID,21,Franco,https://mylineups.app/world-cup-2026/teams/ecuador
Ecuador,E,4-4-2,8,MID,15,Vite,https://mylineups.app/world-cup-2026/teams/ecuador
Ecuador,E,4-4-2,9,ATT,20,Angulo,https://mylineups.app/world-cup-2026/teams/ecuador
Ecuador,E,4-4-2,10,ATT,19,Plata,https://mylineups.app/world-cup-2026/teams/ecuador
Ecuador,E,4-4-2,11,ATT,13,Valencia,https://mylineups.app/world-cup-2026/teams/ecuador
Germany,E,4-2-3-1,1,GK,1,Neuer,https://mylineups.app/world-cup-2026/teams/germany
Germany,E,4-2-3-1,2,DEF,22,Raum,https://mylineups.app/world-cup-2026/teams/germany
Germany,E,4-2-3-1,3,DEF,15,Schlotterbeck,https://mylineups.app/world-cup-2026/teams/germany
Germany,E,4-2-3-1,4,DEF,4,Tah,https://mylineups.app/world-cup-2026/teams/germany
Germany,E,4-2-3-1,5,MID,8,Goretzka,https://mylineups.app/world-cup-2026/teams/germany
Germany,E,4-2-3-1,6,MID,6,Kimmich,https://mylineups.app/world-cup-2026/teams/germany
Germany,E,4-2-3-1,7,MID,10,Musiala,https://mylineups.app/world-cup-2026/teams/germany
Germany,E,4-2-3-1,8,MID,5,Pavlovic,https://mylineups.app/world-cup-2026/teams/germany
Germany,E,4-2-3-1,9,ATT,7,Havertz,https://mylineups.app/world-cup-2026/teams/germany
Germany,E,4-2-3-1,10,ATT,25,Karl,https://mylineups.app/world-cup-2026/teams/germany
Germany,E,4-2-3-1,11,ATT,17,Wirtz,https://mylineups.app/world-cup-2026/teams/germany
Ivory Coast,E,4-3-3,1,GK,1,Fofana,https://mylineups.app/world-cup-2026/teams/ivory-coast
Ivory Coast,E,4-3-3,2,DEF,20,Agbadou,https://mylineups.app/world-cup-2026/teams/ivory-coast
Ivory Coast,E,4-3-3,3,DEF,17,Doué,https://mylineups.app/world-cup-2026/teams/ivory-coast
Ivory Coast,E,4-3-3,4,DEF,3,Konan,https://mylineups.app/world-cup-2026/teams/ivory-coast
Ivory Coast,E,4-3-3,5,DEF,7,Kossounou,https://mylineups.app/world-cup-2026/teams/ivory-coast
Ivory Coast,E,4-3-3,6,MID,15,Amad,https://mylineups.app/world-cup-2026/teams/ivory-coast
Ivory Coast,E,4-3-3,7,MID,6,Fofana,https://mylineups.app/world-cup-2026/teams/ivory-coast
Ivory Coast,E,4-3-3,8,MID,8,Kessié,https://mylineups.app/world-cup-2026/teams/ivory-coast
Ivory Coast,E,4-3-3,9,MID,18,Sangaré,https://mylineups.app/world-cup-2026/teams/ivory-coast
Ivory Coast,E,4-3-3,10,ATT,11,Diomande,https://mylineups.app/world-cup-2026/teams/ivory-coast
Ivory Coast,E,4-3-3,11,ATT,22,Guessand,https://mylineups.app/world-cup-2026/teams/ivory-coast
Japan,F,3-4-2-1,1,GK,1,Suzuki,https://mylineups.app/world-cup-2026/teams/japan
